accident_number,date,time,year,street1,street2,road_class,district,latitude,longitude,x,y,accident_location,traffctl,visibility,light,road_surface_condition,hood_158,neighbourhood_new,hood_140,neighbourhood_old,accident_class,pedestrian,cyclist,automobile,motorcycle,truck,trsn_city_veh,emerg_veh,passenger,speeding,aggressive_driving,redlight,alcohol,disability,impact_type,involvement_type,initial_direction,vehicle_type,manoeuver,driver_action,driver_condition,pedestrian_action,pedestrian_condition,cyclist_type,cyclist_action,cyclist_condition,injury,involvement_age,injury_severity_score
1,2013-12-03 10:00:00,700,2013,SCARLETT RD,LAWRENCE AV W,Major Arterial,Etobicoke York,43.698177,-79.523266,618995.276,4839409.5054,At Intersection,Traffic Signal,Clear,Daylight,Dry,8,Humber Heights-Westmount,8,Humber Heights-Westmount (8),Non-Fatal Injury,1,0,1,0,0,0,0,0,0,0,0,0,0,Pedestrian Collisions,"['Driver', 'Pedestrian']",North,['Pick Up Truck'],['Going Ahead'],['Driving Properly'],['Normal'],['Not Applicable'],['Inattentive'],['Not Applicable'],['Not Applicable'],['Not Applicable'],False,"['50 to 54', '10 to 14']",3.0
2,2014-12-08 10:00:00,1700,2014,MOUNT PLEASANT RD,MERTON ST,Major Arterial,North York,43.698104,-79.38644,630020.9808,4839606.8649,At Intersection,Traffic Signal,Clear,"Dark, artificial",Dry,99,Mount Pleasant East,99,Mount Pleasant East (99),Non-Fatal Injury,1,0,1,0,0,0,0,0,0,1,0,0,0,Pedestrian Collisions,"['Driver', 'Pedestrian']",North,"['Automobile, Station Wagon']",['Turning Left'],['Failed to Yield Right of Way'],['Inattentive'],['Crossing with right of way'],['Normal'],['Not Applicable'],['Not Applicable'],['Not Applicable'],False,"['75 to 79', '65 to 69']",3.0
3,2015-01-01 10:00:00,624,2015,KEELE ST,COLVILLE RD,Major Arterial,Etobicoke York,43.706175,-79.477496,622667.1428,4840364.4989,At Intersection,No Control,Clear,"Dawn, artificial",Dry,30,Brookhaven-Amesbury,30,Brookhaven-Amesbury (30),Non-Fatal Injury,0,0,1,0,0,0,0,1,1,1,0,0,0,Approaching,"['Driver', 'Passenger']",North,"['Automobile, Station Wagon']",['Going Ahead'],"['Lost control', 'Driving Properly']","['Unknown', 'Normal']",['Not Applicable'],['Not Applicable'],['Not Applicable'],['Not Applicable'],['Not Applicable'],False,"['20 to 24', '30 to 34']",3.0
4,2015-01-02 10:00:00,949,2015,2211 ST CLAIR AVE W,Not Applicable,Major Arterial,Etobicoke York,43.670848,-79.475185,622925.4822,4836444.3784,Non Intersection,No Control,Clear,Daylight,Dry,90,Junction Area,90,Junction Area (90),Non-Fatal Injury,0,0,1,0,1,0,0,0,0,0,0,0,0,Turning Movement,"['Driver', 'Truck Driver']",West,"['Automobile, Station Wagon', 'Truck - Closed (Blazer, etc)']","['Making U Turn', 'Going Ahead']","['Improper Turn', 'Driving Properly']","['Unknown', 'Normal']",['Not Applicable'],['Not Applicable'],['Not Applicable'],['Not Applicable'],['Not Applicable'],False,"['60 to 64', '30 to 34']",3.0
5,2015-01-02 10:00:00,1830,2015,BAYVIEW AVE,SHEPPARD AVE E,Major Arterial,North York,43.766577,-79.388042,629743.9448,4847209.2783,At Intersection,Traffic Signal,Clear,"Dark, artificial",Dry,52,Bayview Village,52,Bayview Village (52),Non-Fatal Injury,0,0,1,0,0,0,0,1,0,0,0,0,0,Turning Movement,"['Driver', 'Passenger']",North,"['Automobile, Station Wagon']","['Turning Left', 'Going Ahead']",['Other'],['Normal'],['Not Applicable'],['Not Applicable'],['Not Applicable'],['Not Applicable'],['Not Applicable'],False,"['40 to 44', '45 to 49', '5 to 9', '20 to 24']",3.0
6,2015-01-04 10:00:00,1904,2015,BATHURST ST,COLLEGE ST,Major Arterial,Toronto and East York,43.657664,-79.408206,628353.251,4835081.5524,Non Intersection,Pedestrian Crossover,Snow,"Dark, artificial",Wet,79,University,79,University (79),Non-Fatal Injury,1,0,1,0,0,0,0,0,0,1,0,0,0,Pedestrian Collisions,"['Driver', 'Pedestrian']",North,"['Automobile, Station Wagon']",['Going Ahead'],['Failed to Yield Right of Way'],['Normal'],"['Crossing, Pedestrian Crossover']",['Normal'],['Not Applicable'],['Not Applicable'],['Not Applicable'],False,"['70 to 74', '25 to 29']",3.0
7,2015-01-05 10:00:00,747,2015,DUFFERIN ST,STEEPROCK DR,Major Arterial,North York,43.761031,-79.465198,623545.1427,4846475.3184,At Intersection,Traffic Signal,Clear,Daylight,Dry,34,Bathurst Manor,34,Bathurst Manor (34),Non-Fatal Injury,0,0,1,0,0,0,0,0,0,1,1,0,0,Turning Movement,['Driver'],South,"['Automobile, Station Wagon']","['Turning Left', 'Going Ahead', 'Stopped']","['Improper Turn', 'Disobeyed Traffic Control', 'Driving Properly']",['Normal'],['Not Applicable'],['Not Applicable'],['Not Applicable'],['Not Applicable'],['Not Applicable'],False,['45 to 49'],3.0
8,2015-01-09 10:00:00,2148,2015,SPADINA AVE,ST ANDREW ST,Major Arterial,Toronto and East York,43.654383,-79.398639,629131.7201,4834731.9981,Intersection Related,Traffic Signal,Clear,"Dark, artificial",Wet,78,Kensington-Chinatown,78,Kensington-Chinatown (78),Non-Fatal Injury,0,1,0,0,0,1,0,0,0,0,0,0,0,Cyclist Collisions,"['Cyclist', 'Driver']",South,"['Bicycle', 'Street Car']","['Turning Left', 'Going Ahead']",['Driving Properly'],['Normal'],['Not Applicable'],['Not Applicable'],['Cyclist turned left across motorists path.'],['Improper Turn'],['Had Been Drinking'],False,['35 to 39'],3.0
9,2015-01-11 10:00:00,338,2015,KINGSTON RD,WARDEN AVE,Major Arterial,Scarborough,43.687747,-79.270908,639354.6662,4838644.2398,At Intersection,Traffic Signal,Clear,"Dark, artificial",Dry,122,Birchcliffe-Cliffside,122,Birchcliffe-Cliffside (122),Non-Fatal Injury,0,1,1,0,0,0,0,0,0,0,0,0,0,Cyclist Collisions,"['Cyclist', 'Driver']",East,"['Bicycle', 'Automobile, Station Wagon']","['Other', 'Going Ahead']",['Driving Properly'],['Normal'],['Not Applicable'],['Not Applicable'],['Cyclist and Driver travelling in same direction. One vehicle sideswipes the other.'],['Disobeyed Traffic Control'],['Unknown'],False,"['25 to 29', '40 to 44']",3.0
10,2015-01-11 10:00:00,353,2015,477 BROADVIEW AVE,Not Applicable,Minor Arterial,Toronto and East York,43.669097,-79.352985,632780.7995,4836438.2457,Unknown,No Control,Clear,"Dark, artificial",Dry,68,North Riverdale,68,North Riverdale (68),Fatal,0,0,1,0,0,0,0,0,1,1,0,0,0,SMV Other,['Driver'],South,"['Automobile, Station Wagon']",['Going Ahead'],['Lost control'],['Unknown'],['Not Applicable'],['Not Applicable'],['Not Applicable'],['Not Applicable'],['Not Applicable'],True,['20 to 24'],4.0
